,low_comment_True
1600,근데 지호사건도 있고 갈수록 폭력적이지 않나?? 조금은 신선하게 흐름을 계속 유지하는것도 중요하다고 생각드는데..
1601,5명만 더 있었으면 좋았을텐데. 십오진회?
1602,작가님 화이팅... 시간 지나면 발톱도 다시 날거고 독자도 다시 태어날거에요...
1603,이거진짜 정으로 보는사람들 추천눌러보셈
1604,"누가 믿어주겠냐 ,,"
1605,제발 결말에도 미오 부활만은 없길... 진짜 그런 진부한 아동만화식 결말만큼은 피해라........
1606,작가님 A형독감은 간접 접촉으로도 퍼지는거 아닌가요..
1607,이거는 내가 생각하기엔 쉴드는 못친다..
1608,"한번 더 나에게 질풍 같은 용기를
거친 파도에도 굴하지 않게
드넓은 대지에 다시 새길 희망을
안고 달려갈 거야 너에게
그래 이런 내 모습 게을러 보이고
우습게도 보일 거야 하지만 내게 주어진
무거운 운명에 나는 다시 태어나 싸울 거야
한번 더 나에게 질풍 같은 용기를
거친 파도에도 굴하지 않게
드넓은 대지에 다시 새길 희망을
안고 달려갈 거야 너에게


세상에 도전하는 게 외로울 지라도
함께 해줄 우정을 믿고 있어 
한번 더 나에게 질풍 같은 용기를
거친 파도에도 굴하지 않게
드넓은 대지에 다시 새길 희망을
안고 달려갈 거야 너에게
한번 더 나에게 질풍 같은 용기를
거친 파도에도 굴하지 않게
드넓은 대지에 다시 새길 희망을
안고 달려갈 거야 너에게"
1609,나만 보고 총몇명 나천재의  오 마이 갓 김치 생각함?
1610,노움보고싶다
1611,명령으로 백경대원 죽이고 씁슬해 하는 마음 착한우리 다니엘
1612,제나님 안늦었어요 빨리 손절하고 탈출하세요
1613,나만 재밌나ㅋㅋㅋㅋ 존나 웃었는데ㅋㅋ
1614,이제 반장은 회사의 돌로 빨려들어갑니다.
1615,"작가님..저 덴마많이좋아하거든요
그러니까 이렇게 칼업뎃은바라지도않고요
별탈없이 원래짜여진 스토리대로 무사완결만
부탁드립니다...진짜 부탁드려요"
1616,아이에 대한 책임은 여주 주변인이 지네
1617,이젠 주인공인 동태보다 잠깐 같이 싸웠다고 기절한 요한이를 집까지 데려와서 재워주고 클로킹으로 보호해주는 대웅이가 더 인간적이고 착해보이네요....
1618,"웹툰자세히봤나여..
민호는 보배가오수이어주려하기전부터
보배한테 관심있었고..그래서 오수한테 말걸은거구..
그걸 오수도 알고있었어요.. 스토리가너무산으로가서 잊혀졌을뿐..

오수가 뭘보고들어도 다 민호에게 집착에가까유망상을
하고있고.. 지훈이도 좋아했는데 키작다고싫어했고
보배랑소개팅한다니까싫어하고(이게어장이아니면뭔지., )
근데마치.,  오수가천사인것처럼 선심쓰는것처럼 나오고..

오수 캐릭터가지금..이상해졌어요"
1619,"패러디고 뭐고 요새 티비 하나도 안 보는데도 걍 웃기기만한데...
요새 그나마 아무 생각 없이 웃는게 마음의 소리 볼 때라서 마음의 위안도 되고 있습니다.
작가님 화이팅. 절대 미워서 7.1 만들려는게 아니에요ㅋㅋㅋ"
1620,스토리도 나름대로 잘 짜려고 노력하시려는 것 같고 그림체도 뭐...다름 돼지읍읍같운 만화보단 괜찮긴 하지만 효과음이 적어서 그런지 조금 연출이 심심하다는 생각이 크게 듭니다. 효과음이 들어가야 할 곳에 약간 효과음이 들어가지 않는 듯한 느낌이 많이 들기도 하고...조금 연출만 풍부하게 해주시면 좋을 것 같습니다.
1621,선일이 단의 검 주인에 불사 속성까지 다 나오고 한지한도 듣고 생각까지 하넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1622,동재앙 대사 한 마디도 없으니까 좋다
1623,패시브 + 어비스  = 패비스
1624,팩트. 남친이 피임기구 사용하려했을때 여주가 괜찮다고 함. 여주는 남친 알리지도 않고 낳음. ㄹㅇ 이건 책임지자고 하면 OOO11기임 ;;;;;
1625,쟤 진짜 크게 벌받았음 좋겠다. 주변사람들 맘 다치게 한것까지.
1626,저 죄송하지만 김치찌개 만드는 레시피 얻을수 있을까요
1627,졸렬하게 팩트로 조지네....
1628,파이는 불사조여따!!!
1629,주교 아그네스의 하우 투 킬
1630,하아..니 때문에 싸워는데 토하네 쌤통이다
1631,기안아 누가 이기나 한번해보자 나는 오늘 복학왕보고 잘거다
1632,20대 극초반이면...저럴 수 있음... 1~2학년때 상상초월하는 애들을 많이 봐서 저런건 그냥 그러려니... 단순히 이게 주인공이라서 답답할따름이지
1633,베댓님 오늘 요약이요? 포박이요
1634,형 옆집에서 차력쓰던데?
1635,Mz은 인정
1636,"작가님 캐릭터 설정이나 대사 이런게 어색해서 힘들어요ㅠㅠ 예를 들면 생각으로 해도 될걸 굳이 말로 길게하고, 생각할때도 너무 어색해요 그래서 막 진지한 캐릭터가 갑자기 바보같아보이고... 여우우두머리가 붕대쓰는것도 살짝 어색한데 중간에 돼지가 붕대찢을때도 그냥 짧게 '끊어!? 역시 겉모습만 변한건 아니었나..' 이런식으로 하면 더 자연스러울거같아요! 특히 오늘은 처음부터 끝까지 액션이라 대사가 많지 않은데도 그러네요. 기분 나쁘시면 죄송합니다 웹툰에 댓글 달아본적 없지만 항상 느끼던거라 이제야 댓글 달아봐요! 작가님 그림 개인적으로 좋아해서 챙겨보긴 하는데 대사나 그런 부분들이 너무 아쉬워서요ㅠㅠ 수고하세요!"
1637,근데 초희인가뭔가 저 여자애 촬영끝나자마자 모든 사람들 다 있는 앞에서 카오스한테 친한척하면서 마실거 가져다주는데 그럼 지한테 관심쏠리는거 당연한거아님? 자기가 행동을 저렇게 했는데 관심받는게 부담스럽다니;;; 너무 이중적이네
1638,왕규야 어머님께 인사드리고 우리 결혼하자~♡♡♡♡
1639,이만화는 에필로그 나온순간부터 호흡기땐거임. 이젠 그냥 죽은자식부랄 만지기하고있는중. 근데 그동안 봐왔던 정이 있어서 끊지는 못한다
1640,아무 생각없이 보면 괜찮은듯 한디??????
1641,오랫만에 덴경대를 사용하니 기분이 조쿤요
1642,와.. 스토리가 진짜 괴랄하긴한데 옛날 애인들 한번에 나오는 씬 보고 소름이 돋았다..
1643,누구보다 옷을 아끼는 백경대가 펌핑으로 옷을 찢다니ㅋㅋㅋ
1644,팩트 : 우기명이 성공하면 기안일거리가 없어져서 떡락시키는것.
1645,ㄱㅊㄱㅊ어차피 욕하는새끼들 안볼꺼라면서 담주에 또보러옴ㅋㅋㅋㅋㅋㅋㅋ
1646,영웅이 턱뼈 으스러지고 나서 죽었어 이런 말 나오니까 영웅이 죽은거같잖아ㅋㅋㅋㅋㅋㅋ
1647,큭! 내 왼눈의 흑염룡이...
1648,진짜 갈수록 점입가경이다. 배댓말대로 머리나쁜 작가가 머리좋은 캐릭터 만들라고 하니까 한계가 엄청 명확하구나.
1649,나처럼 천천히 하나하나 기다린사람 좋아요 눌러
1650,악수나오는거 보니 신암행어사랑도 좀 관련이 있네요  잘하면 문수랑  크라운산도 이야기도  나올지도 모르겠네요
1651,확실히 정주행하는게 분량신경도 안쓰게되니까 재밌네요
1652,"゜・。❅゜❅ ゜・。❅ ゜。゜・・゜별빛이내린다・。゜❅゜ ゜゜。。゜・。。。゜・ 。・❅゜゜・。゜・ ❅゜゜・。゜・・。。゜・。。。❅❅゜゜・。。゜샤라랄라랄랄라・。。。゜・❅ ゜・。❅゜ 
゜。゜・・゜・。゜❅゜゜゜。。゜・。。。゜・。・❅゜゜・。゜・。❅゜。・❅゜゜。゜・ 。゜
_  샤라라랄 랄랄라"
1653,゜ ・。 ゜　・・　゜　・ 。。　゜・　。 。 。　゜　・ 。　❆　・　。　・　゜　❅ 。　❅　・ 。　・　。 ゜　・ 。゜ ・　。。・ 。 ❅　゜　・ 。 ❅゜　゜ ・　。 ゜・　❆　゜　・ 。 ❅゜ ❅　゜　・ 。 ❅゜　゜ ・　。 ゜・　❆　゜　・ 。 ❅゜　゜ ・。 ゜　・・　゜　・ 。。　゜・　。 。 。　゜　・ 。　❆　・　❅　゜　・ 。 ❅゜　゜ ・　。 ゜・　❆　゜　・ 。 ❅゜　゜ ・゜・　❆　゜　・ 。 ❅゜ ❅　゜　・ 。 ❅゜　゜ ・　。 ゜・　❆　゜　・ 。 ❅゜　゜ ・。 ゜ ❅゜　゜ ・　。 ゜・　❆　゜　・ 。 ❅゜　゜・　。 ゜・　 We wish your merry christmas.
1654,작가님편을 들고싶은데..진짜 아깝긴 하다...
1655,이것도배댓이될수있을까?
1656,지렸다 7.77
1657,내가 데이트 해줄게
1658,와 난 오늘거가 제일 어이가없었는데 별점봐 이제 욕하는사람 없어지니 별점이 점점오르네;
1659,원래 적들이랑 싸우면서 성장하고 스킬은 회상으로 나오는게 정석아니냐?
1660,"오버워치 하고싶다...
오늘도 느린 대전이나 돌려야지 같이할사람?"
1661,어휴ㅋㅋㅋㅋㅋ형준아 그만나대자ㅋㅋㅋㅋ
1662,"그니까 실생활로 비유하자면

정수기로 뜨거운물 뽑으면 되는데

산 올라가서 약수터에서 물뜨고 집에와서 주전자로 물 끓이고 있다


이거아님?"
1663,떠따!!
1664,"바비 다은 이야기 궁금하긴 함 ,, 일단 유미랑 바비가 어떻게 헤어진지가 젤 궁금 
아 쓰면서 생각하니 빡치네, 유미를 위해 바비분식 차린거 아니냐고 아오 바비 개X야 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ "
1665,친미->친중 욕먹어도 싼거 ㅇㅈ이자너ㅋㅋ
1666,"작가님 다 좋은데 이게 죠죠도 아니고 진태진, 진모리가 차력으로 나오는 그딴거 하지 맙시다"
1667,작가님이 댓글을 보고는 있는지 의문.. 반응 좋은 화랑 반응이 좋지 않은 화를 구분해서 작가님이 독자들의 마음을 분석하고 조금 더 발전했으면 좋겠다는 생각이 드네요..
1668,"조만간 미오나 지은중 한명은 죽거나 파티 이탈할듯 은주와 태빈이가 짝이고 미오와 동태가 있는 자리에 지은이까지 껴있는 모습은 너무 부자연스러움 
둘 중 한명만이 일행에 남아 있을것 같은데(3부에서 은주가 미오동태쪽 이탈할것 처럼) 
미오는 이미 한번 죽었으니 결국... 흑화를 해도 더 적절한 인물은.... 
이대로 병풍 되느니 흑화해서 존재감 챙기는것도 좋을듯"
1669,불이익이 있겠지 자기 수명이 줄어든다거나
1670,나를 구원 가능한 존재는 오직 나 자신뿐 ㅠㅠ
1671,이번화를 보고 물을 마셨더니 사이다가 되어있었습니다.
1672,"다이스웹툰을 인생웹툰 중 하나라고 생각했어요. 스토리, 게임, 상상력, 예쁜 그림, 캐릭터 표현, 회차를 스테이지+다이스로 한것 등 센스가 넘쳤죠. 근데, 3시즌(작년9월)부터 현재까지 스토리가, 동태.은주.미오가 몹으로 쫓기는 신세가 되었다. 새로운 캐릭터는 남들모르는 외모로 바꾸고 싶은 지은. 동태를 상품으로 건 토너먼트. 그림은 많은데, 최근 들어 스토리가 없어요. ㅜㅡㅜ(오늘이 제일 심해서 댓글씁니다.) 특히 지은 캐릭터는 3시즌 초반에는 잘 묘사가 되었는데, 갈수록 왜 등장했는지 모르겠어요. 지은이 간간이 칼들고, 찌르기(공격) 대신 메인 캐릭들을 도와주는 씬은 지은의 생각이나 지은의 감정기복을 드러내는 복선 씬이 생략되어서 공감하기 어렵구요. 차라리 3시즌을 쭉 지은의 시점으로 다이스를  보았다면 좀 더 새로웠을까요? 지금, 주인공이 누군지 모르겠어요.
좋은 작품보여주시다가 주춤 하는 느낌이 들어서 아쉬워요. 힘내세요! 완결까지! 화이팅!"
1673,와 일이 몇중첩으로 꼬이는거야 ㅋㅋㅋㅋ 1. 흰머리는 샵의 상관이고 아직 냉장고는 모르는상태 2. 샵은 공자랑 거래하기로 함 3. 패왕은 냉장고 내 꺼 4. 롯은 냉장고 엘이랑 내 꺼 5. 가우스랑 공자
1674,스토리 대사 엄청 탄탄하고 전투씬이나 싸움구도도 멋있음 진짜 완성도 높은 웹툰인데 안타깝네
1675,오 그래도 이제야 좀 신격화 프레임 안씌우네 그래 이렇게 건전하게 스토리 가자 제발
1676,정석순 김나니 얘기는 약 1년 전 부터 시작되었음
1677,허노아 진짜 웃기네ㅋㅌㅋㄱㄱㅋ 홍오수랑 민호랑 사귀는 거면 문제 맞지ㅇㅇ 근데 걔네 둘이 아무 사이도 아닌데 자기가 저기 껴들어서 사진찍고 고나리질 할 문제임? 진짜 왜 저러는데 지 에피소드에서 좋은 이미지 쌓았던거 다 망가트리는중
1678,사람의 심리를 너무 잘 표현하시면 마음이 아파요ㅠㅜ
1679,텐카...발음이 정확했어
1680,"너무나도 그리웠던, 덴마 특유의 컷으로 설명하는 감정선이네요. 에피소드 내용도 그렇지만 덴마가 다시 돌아왔다는 느낌이 와서 뭉클해지네요."
1681,지금까지 뚱미오를 '처음'부터 편견없이 대해준 사람이 있었나요.. 미오 다이스 초기화 됐을때 은주도 얼타고 동태도 조금씩 변화해간거라 지은누나밖에 없었는데.... 미오는 지 인복을 지가 발로찼어ㅋㅋ 지은이 정상은 아니어도 자기편한테만큼은 헌신적인 사람이구만
1682,아쉽네요..시간이 좀 지나더라도 좋은 끝맺음이 있었으면 좋겠습니다.
1683,작가님 이번 에피는 그냥가고 앞으로는 좋은 모습많이 보여주세요
1684,"...?

과거회상 → 현재 → 빵사줘

....??"
1685,쩔해달라는 말을 빙빙돌려서하네
1686,오늘거보고 이거보러온 사람 ㅋㅋㅋㅋ
1687,미오 불쌍하긴 한데 시즌4에서 인성질한거 댓가 치룰 타이밍은 됐다고 봄 전개 좋다
1688,해냈다! 해냈어! 양형이 해냈다구!!!
1689,쉴드충들 숨었죠?ㅋㅋ
1690,이 야설에 내 흔적을 남긴다..
1691,정보) 일요일꺼다
1692,연재수 줄이라고들하는데 연재일수 줄인다고 지각안할꺼같아요?
1693,"난 지은이 편 ㅠㅠㅠ 지은 힘내 
철덩어리들 떨어지는 와중에서도 마스크 찾는 거 보고 울 뻔함..."
1694,찐따는 이유가 있다
1695,솔직히 4부 시작하면서 지은이라는 입체적인 캐릭터로 새로운 시도 했을땐 떡상의 여지가 느껴졌다. 단순했던 다이스에 새로운 호흡을 불어넣을 좋은 시도라고 느껴졌음. 근데 지금 뭐냐.. 그런거 다 내팽겨치고 걍 예전처럼 미오놀음만 반복하고 있으니 참.. 좋은 캐릭두고 뭐하는건지
1696,저것들이 단체로 주인님 바쁘셔하면서 목붙이면 레전드인데..
1697,"아니 근데 저 남자입장에서는 잘 모르는 여자가 자기 상대로 19소설쓴건데 당연히 기분 나쁠듯,,,"
